"No.","Time","Source","Destination","Protocol","Length","Info"
"1290","642.615560","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1291","642.660638","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1292","642.750599","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1293","642.798042","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1294","642.885808","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1295","642.930541","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1296","643.020918","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1297","643.066647","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1298","643.155549","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
"1299","643.245687","81:0a:b7:00:1d:bc (Air5(ID-1DBC))","SamsungElect_dd:c6:25 (A14 de Walter)","ATT","30","Rcvd Handle Value Notification, Handle: 0x0014 (Unknown: Unknown)"
